1,37,3,2019-01-01
2,28,49,2019-01-01
3,2,86,2019-01-01
4,49,2,2019-01-01
5,46,25,2019-01-01
6,33,32,2019-01-01
7,38,60,2019-01-02
8,40,12,2019-01-02
9,17,18,2019-01-02
10,39,88,2019-01-02
11,41,24,2019-01-02
12,13,83,2019-01-02
13,29,46,2019-01-02
14,34,82,2019-01-02
15,22,73,2019-01-02
16,18,4,2019-01-02
17,43,10,2019-01-02
18,8,91,2019-01-02
19,46,87,2019-01-02
20,6,86,2019-01-02
21,24,35,2019-01-02
22,6,32,2019-01-02
23,8,35,2019-01-02
24,12,7,2019-01-02
25,13,66,2019-01-02
26,46,43,2019-01-02
27,34,17,2019-01-02
28,7,60,2019-01-02
29,14,35,2019-01-02
30,12,10,2019-01-02
31,18,17,2019-01-02
32,11,10,2019-01-02
33,21,98,2019-01-02
34,12,46,2019-01-02
35,45,85,2019-01-02
36,40,59,2019-01-02
37,18,55,2019-01-02
38,2,1,2019-01-02
39,36,63,2019-01-02
40,4,43,2019-01-02
41,37,68,2019-01-02
42,14,41,2019-01-02
43,46,32,2019-01-02
44,33,87,2019-01-02
45,6,27,2019-01-02
46,38,45,2019-01-02
47,18,31,2019-01-02
48,12,32,2019-01-02
49,5,62,2019-01-02
50,3,65,2019-01-03
51,9,7,2019-01-03
52,26,45,2019-01-03
53,44,99,2019-01-03
54,34,79,2019-01-03
55,21,92,2019-01-03
56,37,43,2019-01-04
57,43,2,2019-01-04
58,33,19,2019-01-04
59,22,32,2019-01-05
60,49,69,2019-01-05
61,7,97,2019-01-05
62,49,24,2019-01-05
63,46,77,2019-01-05
64,5,21,2019-01-06
65,2,63,2019-01-06
66,2,75,2019-01-06
67,34,70,2019-01-06
68,3,23,2019-01-06
69,43,70,2019-01-06
70,36,84,2019-01-06
71,41,12,2019-01-06
72,26,45,2019-01-06
73,40,63,2019-01-06
74,43,20,2019-01-06
75,48,96,2019-01-06
76,21,97,2019-01-06
77,11,24,2019-01-06
78,10,9,2019-01-06
79,20,5,2019-01-06
80,6,21,2019-01-06
81,18,80,2019-01-06
82,24,7,2019-01-06
83,22,90,2019-01-06
84,4,34,2019-01-06
85,49,83,2019-01-06
86,13,40,2019-01-07
87,45,57,2019-01-07
88,33,19,2019-01-07
89,34,21,2019-01-08
90,13,34,2019-01-08
91,22,35,2019-01-08
92,11,57,2019-01-08
93,38,5,2019-01-08
94,10,67,2019-01-08
95,24,64,2019-01-08
96,41,67,2019-01-08
97,6,13,2019-01-08
98,43,90,2019-01-08
99,8,11,2019-01-08
100,43,66,2019-01-08
101,23,16,2019-01-08
102,41,4,2019-01-08
103,32,99,2019-01-08
104,17,62,2019-01-08
105,12,51,2019-01-08
106,10,47,2019-01-08
107,5,10,2019-01-08
108,1,97,2019-01-08
109,24,22,2019-01-08
110,34,41,2019-01-08
111,3,14,2019-01-08
112,40,11,2019-01-08
113,32,90,2019-01-08
114,7,24,2019-01-08
115,32,77,2019-01-08
116,44,59,2019-01-08
117,26,58,2019-01-08
118,17,86,2019-01-08
119,21,47,2019-01-08
120,28,50,2019-01-08
121,35,38,2019-01-08
122,40,4,2019-01-08
123,24,42,2019-01-08
124,4,100,2019-01-08
125,33,57,2019-01-08
126,13,46,2019-01-08
127,45,23,2019-01-08
128,10,7,2019-01-08
129,9,49,2019-01-08
130,42,30,2019-01-08
131,31,96,2019-01-08
132,2,15,2019-01-08
133,2,63,2019-01-08
134,23,53,2019-01-08
135,13,38,2019-01-08
136,33,39,2019-01-08
137,48,10,2019-01-08
138,13,20,2019-01-09
139,41,70,2019-01-09
140,16,76,2019-01-09
141,39,42,2019-01-09
142,35,45,2019-01-09
143,8,4,2019-01-09
144,35,41,2019-01-09
145,19,72,2019-01-09
146,28,59,2019-01-09
147,25,80,2019-01-09
148,2,10,2019-01-09
149,42,89,2019-01-09
150,38,36,2019-01-09
151,50,54,2019-01-10
152,11,80,2019-01-10
153,47,44,2019-01-10
154,49,13,2019-01-10
155,48,30,2019-01-10
156,38,7,2019-01-10
157,33,14,2019-01-10
158,30,22,2019-01-10
159,14,21,2019-01-10
160,24,50,2019-01-10
161,5,46,2019-01-11
162,39,69,2019-01-11
163,17,84,2019-01-12
164,21,91,2019-01-12
165,4,15,2019-01-12
166,29,29,2019-01-13
167,31,9,2019-01-14
168,5,92,2019-01-14
169,3,63,2019-01-14
170,15,70,2019-01-14
171,37,93,2019-01-14
172,49,67,2019-01-14
173,42,20,2019-01-14
